Title,Distributor(s),Release date(United States),Bud­get (mil­lions),Opening weekend(North America),North America,Other territories,Worldwide,Profit,Year,Revenue_Category
Howard the Duck,Universal Pictures,1986-08-01,37.0,5070136,16295774,21667000,37962774,37962737.0,1986,Low
Blade,New Line Cinema,1998-08-21,45.0,17073856,70087718,61095812,131183530,131183485.0,1998,Low
X-Men,20th Century Fox,2000-07-14,75.0,54471475,157299717,139039810,296339527,296339452.0,2000,Low
Blade II,New Line Cinema,2002-03-22,54.0,32528016,82348319,72661713,155010032,155009978.0,2002,Low
Spider-Man,Sony Pictures,2002-05-03,139.0,114844116,403706375,418002176,821708551,821708412.0,2002,High
Daredevil,20th Century Fox,2003-02-14,78.0,40310419,102543518,76636200,179179718,179179640.0,2003,Low
X2,20th Century Fox,2003-05-02,110.0,85558731,214949694,192761855,407711549,407711439.0,2003,Medium
Hulk,Universal Pictures,2003-06-20,137.0,62128420,132177234,113183246,245360480,245360343.0,2003,Low
The Punisher,Lionsgate Films,2004-04-16,33.0,13834527,33810189,20889916,54700105,54700072.0,2004,Low
Spider-Man 2,Sony Pictures,2004-06-30,200.0,88156227,373585825,415390628,788976453,788976253.0,2004,Medium
Blade: Trinity,New Line Cinema,2004-12-08,65.0,16061271,52411906,76493460,128905366,128905301.0,2004,Low
Elektra,20th Century Fox,2005-01-14,43.0,12804793,24409722,32271844,56681566,56681523.0,2005,Low
Fantastic Four,20th Century Fox,2005-07-08,100.0,56061504,154696080,175883639,330579719,330579619.0,2005,Medium
X-Men: The Last Stand,20th Century Fox,2006-05-26,210.0,102750665,234362462,224997093,459359555,459359345.0,2006,Medium
Ghost Rider,Sony Pictures,2007-02-16,110.0,45388836,115802596,112935797,228738393,228738283.0,2007,Low
Spider-Man 3,Sony Pictures,2007-05-04,258.0,151116516,336530303,554341323,890871626,890871368.0,2007,High
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,2007-06-15,130.0,58051684,131921738,169991393,301913131,301913001.0,2007,Medium
Iron Man,Paramount Pictures,2008-05-02,140.0,98618668,318412101,266762121,585174222,585174082.0,2008,Medium
The Incredible Hulk,Universal Pictures,2008-06-13,150.0,55414050,134806913,128620638,263427551,263427401.0,2008,Low
Punisher: War Zone,Lionsgate Films,2008-12-05,35.0,4271451,8050977,2049059,10100036,10100001.0,2008,Low
X-Men Origins: Wolverine,20th Century Fox,2009-05-01,150.0,85058003,179883157,193179707,373062864,373062714.0,2009,Medium
Iron Man 2,Paramount Pictures,2010-05-07,200.0,128122480,312433331,311500000,623933331,623933131.0,2010,Medium
Thor,Paramount Pictures,2011-05-06,150.0,65723338,181030624,268295994,449326618,449326468.0,2011,Medium
X-Men: First Class,20th Century Fox,2011-06-03,160.0,55101604,146408305,207215819,353624124,353623964.0,2011,Medium
Captain America: The First Avenger,Paramount Pictures,2011-07-22,140.0,65058524,176654505,193915269,370569774,370569634.0,2011,Medium
Ghost Rider: Spirit of Vengeance,Sony Pictures,2012-02-17,57.0,22115334,51774002,80789928,132563930,132563873.0,2012,Low
The Avengers,Walt Disney Studios Motion Pictures,2012-05-04,220.0,207438708,623357910,895455078,1518812988,1518812768.0,2012,High
The Amazing Spider-Man,Sony Pictures,2012-07-03,230.0,62004688,262030663,495900000,757930663,757930433.0,2012,Medium
Iron Man 3,Walt Disney Studios Motion Pictures,2013-05-03,200.0,174144585,409013994,805797258,1214811252,1214811052.0,2013,High
The Wolverine,20th Century Fox,2013-07-26,120.0,53113752,132550960,282271394,414828246,414828126.0,2013,Medium
Thor: The Dark World,Walt Disney Studios Motion Pictures,2013-11-08,170.0,85737841,206362140,438209262,644571402,644571232.0,2013,Medium
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,2014-04-04,170.0,95023721,259766572,454497695,714264267,714264097.0,2014,Medium
The Amazing Spider-Man 2,Sony Pictures,2014-05-02,255.0,91608337,202853933,506128390,708982323,708982068.0,2014,Medium
X-Men: Days of Future Past,20th Century Fox,2014-05-23,200.0,90823660,233921534,513941241,747862775,747862575.0,2014,Medium
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,2014-08-01,170.0,94320883,333176600,440152029,773328629,773328459.0,2014,Medium
Big Hero 6,Walt Disney Studios Motion Pictures,2014-11-07,165.0,56215889,222527828,435300000,657827828,657827663.0,2014,Medium
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,2015-05-01,250.0,191271109,459005868,946397826,1405403694,1405403444.0,2015,High
Ant-Man,Walt Disney Studios Motion Pictures,2015-07-17,130.0,57225526,180202163,339109802,519311965,519311835.0,2015,Medium
Fantastic Four,20th Century Fox,2015-08-07,120.0,25685737,56117548,111765333,167882881,167882761.0,2015,Low
Deadpool,20th Century Fox,2016-02-12,58.0,132434600,363070709,420042270,783112979,783112921.0,2016,Medium
Captain America: Civil War,Walt Disney Studios Motion Pictures,2016-05-06,250.0,179139142,408084349,745220146,1153304495,1153304245.0,2016,High
X-Men: Apocalypse,20th Century Fox,2016-05-27,178.0,65769562,155442489,388491616,543934105,543933927.0,2016,Medium
Doctor Strange,Walt Disney Studios Motion Pictures,2016-11-04,165.0,85058311,232641920,445076475,677718395,677718230.0,2016,Medium
Logan,20th Century Fox,2017-03-03,97.0,88411916,226277068,390518532,616795600,616795503.0,2017,Medium
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,2017-05-05,200.0,146510104,389813101,473942950,863756051,863755851.0,2017,High
Spider-Man: Homecoming,Sony Pictures,2017-07-07,175.0,117027503,334201140,545965784,880166924,880166749.0,2017,High
Inhumans,IMAX Entertainment,2017-09-01,277.66695384615383,1500000,1521787,1330495,2852282,2852004.3330461537,2017,Low
Thor: Ragnarok,Walt Disney Studios Motion Pictures,2017-11-03,180.0,122744989,315058289,538918837,853977126,853976946.0,2017,High
Black Panther,Walt Disney Studios Motion Pictures,2018-02-16,200.0,202003951,700059566,646853595,1346913161,1346912961.0,2018,High
Avengers: Infinity War,Walt Disney Studios Motion Pictures,2018-04-27,316.0,257698183,678815482,1369544272,2048359754,2048359438.0,2018,High
Deadpool 2,20th Century Fox,2018-05-18,110.0,125507153,324591735,460455185,785046920,785046810.0,2018,Medium
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,2018-07-06,162.0,75812205,216648740,406025399,622674139,622673977.0,2018,Medium
Venom,Sony Pictures,2018-10-05,100.0,80255756,213515506,641498448,855013954,855013854.0,2018,High
Spider-Man: Into the Spider-Verse,Sony Pictures,2018-12-14,90.0,35363376,190241310,185299521,375540831,375540741.0,2018,Medium
